root,arm,benchmark,model,n_seeds,seed_min,seed_max,seeds,n_rows,dup_rows,n_files,n_hf,n_lf,max_budget_last,mtime_min,mtime_max,extra,cols
refig_20260908/results,blr_replace__hf_argmin,Branin-Fav,TwoStageJoint,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 02:04,2026-09-08 02:06,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Unfav,Adapter,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,52,50.0,2026-09-08 02:07,2026-09-08 02:08,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Unfav,Curriculum,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,52,50.0,2026-09-08 02:04,2026-09-08 02:05,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Unfav,DNGOGradient,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,52,50.0,2026-09-08 02:06,2026-09-08 02:06,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Unfav,DNGOJoint,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,52,50.0,2026-09-08 02:06,2026-09-08 02:07,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Unfav,DomainAdaptationMMD,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,52,50.0,2026-09-08 02:06,2026-09-08 02:07,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Unfav,KnowledgeDistillation,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,52,50.0,2026-09-08 02:06,2026-09-08 02:06,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Unfav,Progressive,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,52,50.0,2026-09-08 02:04,2026-09-08 02:05,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Unfav,PseudoLabeling,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,52,50.0,2026-09-08 02:07,2026-09-08 02:08,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Unfav,Sequential,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,52,50.0,2026-09-08 02:04,2026-09-08 02:05,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Unfav,SoftParameterSharing,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,52,50.0,2026-09-08 02:07,2026-09-08 02:08,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Unfav,TwoStageJoint,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,52,50.0,2026-09-08 02:05,2026-09-08 02:06,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,COFs,Adapter,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,230,29.950000000000117,2026-09-08 01:43,2026-09-08 01:43,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,COFs,Curriculum,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,230,29.950000000000117,2026-09-08 01:44,2026-09-08 01:45,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,COFs,DNGOGradient,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,230,29.950000000000117,2026-09-08 01:47,2026-09-08 01:48,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,COFs,DNGOJoint,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,230,29.950000000000117,2026-09-08 01:47,2026-09-08 01:47,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,COFs,DomainAdaptationMMD,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,230,29.950000000000117,2026-09-08 01:45,2026-09-08 01:45,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,COFs,KnowledgeDistillation,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,230,29.950000000000117,2026-09-08 01:43,2026-09-08 01:43,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,COFs,Progressive,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,230,29.950000000000117,2026-09-08 01:41,2026-09-08 01:41,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,COFs,PseudoLabeling,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,230,29.950000000000117,2026-09-08 01:44,2026-09-08 01:44,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,COFs,Sequential,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,230,29.950000000000117,2026-09-08 01:43,2026-09-08 01:43,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,COFs,SoftParameterSharing,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,230,29.950000000000117,2026-09-08 01:45,2026-09-08 01:45,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,COFs,TwoStageJoint,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,230,29.950000000000117,2026-09-08 01:43,2026-09-08 01:43,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,FreeSolv,Adapter,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 01:51,2026-09-08 01:52,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,FreeSolv,Curriculum,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 01:46,2026-09-08 01:46,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,FreeSolv,DNGOGradient,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 01:50,2026-09-08 01:53,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,FreeSolv,DNGOJoint,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 01:53,2026-09-08 01:54,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,FreeSolv,DomainAdaptationMMD,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 01:53,2026-09-08 01:53,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,FreeSolv,KnowledgeDistillation,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 01:49,2026-09-08 01:50,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,FreeSolv,Progressive,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 01:46,2026-09-08 01:47,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,FreeSolv,PseudoLabeling,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 01:50,2026-09-08 01:52,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,FreeSolv,Sequential,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 01:44,2026-09-08 01:44,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,FreeSolv,SoftParameterSharing,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 01:52,2026-09-08 01:53,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,FreeSolv,TwoStageJoint,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 01:48,2026-09-08 01:49,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,HOPV15,Adapter,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,149,29.900000000000077,2026-09-08 01:56,2026-09-08 01:57,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,HOPV15,Curriculum,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,149,29.900000000000077,2026-09-08 01:54,2026-09-08 01:55,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,HOPV15,DNGOGradient,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,149,29.900000000000077,2026-09-08 01:56,2026-09-08 01:57,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,HOPV15,DNGOJoint,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,149,29.900000000000077,2026-09-08 01:57,2026-09-08 01:58,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,HOPV15,DomainAdaptationMMD,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,15,149,29.900000000000077,2026-09-08 01:56,2026-09-08 01:57,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
